t,replicas_ready,replicas_desired,hpa_current,hpa_target
2026-05-12T06:51:34.096Z,2,2,,
2026-05-12T06:51:39.171Z,2,2,,
2026-05-12T06:51:44.273Z,2,2,,
2026-05-12T06:51:49.384Z,2,2,2,
2026-05-12T06:51:54.486Z,2,2,2,
2026-05-12T06:51:59.582Z,2,2,2,
2026-05-12T06:52:04.661Z,2,2,2,
2026-05-12T06:52:09.737Z,2,2,2,
2026-05-12T06:52:14.817Z,2,2,2,
2026-05-12T06:52:19.895Z,2,2,2,
2026-05-12T06:52:24.980Z,2,2,2,
2026-05-12T06:52:30.057Z,2,2,2,
2026-05-12T06:52:35.168Z,2,2,2,
2026-05-12T06:52:40.257Z,2,2,2,
2026-05-12T06:52:45.362Z,2,2,2,
2026-05-12T06:52:50.457Z,2,2,2,
2026-05-12T06:52:55.554Z,2,2,2,
2026-05-12T06:53:00.649Z,2,2,2,
2026-05-12T06:53:05.742Z,2,2,2,
2026-05-12T06:53:10.853Z,2,2,2,
2026-05-12T06:53:15.983Z,2,2,2,
2026-05-12T06:53:21.104Z,2,2,2,
2026-05-12T06:53:26.195Z,2,2,2,
2026-05-12T06:53:31.319Z,2,2,2,
2026-05-12T06:53:36.411Z,2,2,2,
2026-05-12T06:53:41.500Z,2,2,2,
2026-05-12T06:53:46.594Z,2,2,2,
2026-05-12T06:53:51.698Z,2,2,2,
2026-05-12T06:53:56.793Z,2,2,2,
2026-05-12T06:54:01.877Z,2,2,2,
2026-05-12T06:54:06.977Z,2,2,2,
2026-05-12T06:54:12.070Z,2,2,2,
2026-05-12T06:54:17.204Z,2,2,2,
2026-05-12T06:54:22.291Z,2,2,2,
2026-05-12T06:54:27.377Z,2,2,2,
2026-05-12T06:54:32.480Z,2,2,2,
2026-05-12T06:54:37.564Z,2,2,2,
2026-05-12T06:54:42.649Z,2,2,2,
2026-05-12T06:54:47.748Z,2,2,2,
2026-05-12T06:54:52.831Z,2,2,2,
2026-05-12T06:54:57.945Z,2,2,2,
2026-05-12T06:55:03.046Z,2,2,2,
2026-05-12T06:55:08.145Z,2,2,2,
2026-05-12T06:55:13.236Z,2,2,2,
2026-05-12T06:55:18.325Z,2,2,2,
2026-05-12T06:55:23.408Z,2,2,2,
2026-05-12T06:55:28.489Z,2,2,2,
2026-05-12T06:55:33.591Z,2,2,2,
2026-05-12T06:55:38.689Z,2,2,2,
2026-05-12T06:55:43.781Z,2,2,2,
2026-05-12T06:55:48.876Z,2,2,2,
2026-05-12T06:55:53.969Z,2,2,2,
2026-05-12T06:55:59.061Z,2,2,2,
2026-05-12T06:56:04.173Z,2,2,2,
2026-05-12T06:56:09.277Z,2,2,2,
2026-05-12T06:56:14.387Z,2,2,2,
2026-05-12T06:56:19.472Z,2,2,2,
2026-05-12T06:56:24.583Z,2,2,2,
2026-05-12T06:56:29.691Z,2,2,2,
2026-05-12T06:56:34.789Z,2,2,2,
2026-05-12T06:56:39.868Z,2,2,2,
2026-05-12T06:56:44.957Z,2,2,2,
2026-05-12T06:56:50.033Z,2,2,2,
2026-05-12T06:56:55.145Z,2,2,2,
2026-05-12T06:57:00.254Z,2,2,2,
2026-05-12T06:57:05.362Z,2,2,2,
2026-05-12T06:57:10.469Z,2,2,2,
2026-05-12T06:57:15.593Z,2,2,2,
2026-05-12T06:57:20.699Z,2,2,2,
2026-05-12T06:57:25.810Z,2,2,2,
2026-05-12T06:57:30.895Z,2,2,2,
2026-05-12T06:57:35.988Z,2,2,2,
2026-05-12T06:57:41.080Z,2,2,2,
2026-05-12T06:57:46.176Z,2,2,2,
2026-05-12T06:57:51.273Z,2,2,2,
2026-05-12T06:57:56.366Z,2,2,2,
2026-05-12T06:58:01.462Z,2,2,2,
2026-05-12T06:58:06.556Z,2,2,2,
2026-05-12T06:58:11.650Z,2,2,2,
2026-05-12T06:58:16.755Z,2,2,2,
2026-05-12T06:58:21.871Z,2,2,2,
2026-05-12T06:58:26.964Z,2,2,2,
2026-05-12T06:58:32.052Z,2,2,2,
2026-05-12T06:58:37.140Z,2,2,2,
2026-05-12T06:58:42.215Z,2,2,2,
2026-05-12T06:58:47.310Z,2,2,2,
2026-05-12T06:58:52.441Z,2,2,2,
2026-05-12T06:58:57.559Z,2,2,2,
2026-05-12T06:59:02.636Z,2,2,2,
2026-05-12T06:59:07.714Z,2,2,2,
2026-05-12T06:59:12.787Z,2,2,2,
2026-05-12T06:59:17.861Z,2,2,2,
