t,replicas_ready,replicas_desired,hpa_current,hpa_target
2026-05-12T06:15:41.139Z,3,3,386m,100
2026-05-12T06:15:46.257Z,3,3,386m,100
2026-05-12T06:15:51.346Z,3,3,361m,100
2026-05-12T06:15:56.454Z,3,3,361m,100
2026-05-12T06:16:01.559Z,3,3,361m,100
2026-05-12T06:16:06.677Z,3,3,691m,100
2026-05-12T06:16:11.793Z,3,3,691m,100
2026-05-12T06:16:16.922Z,3,3,691m,100
2026-05-12T06:16:22.024Z,2,2,4150m,100
2026-05-12T06:16:27.163Z,2,2,4150m,100
2026-05-12T06:16:32.244Z,2,2,4150m,100
2026-05-12T06:16:37.334Z,2,2,13176m,100
2026-05-12T06:16:42.414Z,2,2,13176m,100
2026-05-12T06:16:47.496Z,2,2,13176m,100
2026-05-12T06:16:52.586Z,2,2,23724m,100
2026-05-12T06:16:57.681Z,2,2,23724m,100
2026-05-12T06:17:02.777Z,2,2,23724m,100
2026-05-12T06:17:07.855Z,2,2,39419m,100
2026-05-12T06:17:12.936Z,2,2,39419m,100
2026-05-12T06:17:18.024Z,2,2,39419m,100
2026-05-12T06:17:23.099Z,2,2,57553m,100
2026-05-12T06:17:28.178Z,2,2,57553m,100
2026-05-12T06:17:33.263Z,2,2,57553m,100
2026-05-12T06:17:38.363Z,2,2,82398m,100
2026-05-12T06:17:43.447Z,2,2,82398m,100
2026-05-12T06:17:48.571Z,2,2,82398m,100
2026-05-12T06:17:53.657Z,2,2,108588m,100
2026-05-12T06:17:58.750Z,2,2,108588m,100
2026-05-12T06:18:03.865Z,2,2,108588m,100
2026-05-12T06:18:08.956Z,3,3,137986m,100
2026-05-12T06:18:14.042Z,3,3,137986m,100
2026-05-12T06:18:19.127Z,3,3,137986m,100
2026-05-12T06:18:24.205Z,3,3,109921m,100
2026-05-12T06:18:29.319Z,3,3,109921m,100
2026-05-12T06:18:34.404Z,3,3,109921m,100
2026-05-12T06:18:39.483Z,4,4,129476m,100
2026-05-12T06:18:44.577Z,4,4,129476m,100
2026-05-12T06:18:49.666Z,4,5,110610m,100
2026-05-12T06:18:54.745Z,5,5,110610m,100
2026-05-12T06:18:59.843Z,5,5,110610m,100
2026-05-12T06:19:04.925Z,5,5,100244m,100
2026-05-12T06:19:10.014Z,5,5,100244m,100
2026-05-12T06:19:15.103Z,5,5,100244m,100
2026-05-12T06:19:20.174Z,5,6,111062m,100
2026-05-12T06:19:25.248Z,6,6,111062m,100
2026-05-12T06:19:30.327Z,6,6,111062m,100
2026-05-12T06:19:35.405Z,6,6,102357m,100
